2026-04-23 12:26:52 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 12:26:52 | WARNING  | dashboard_analyzer — LLM recommend_kpis() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 12:30:15 | INFO     | dashboard_analyzer — DashboardAnalyzer initialized (LLM=disabled — fallback only)
2026-04-23 12:30:15 | INFO     | dashboard_analyzer — Running analyze()...
2026-04-23 12:30:18 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 12:35:09 | INFO     | dashboard_analyzer — DashboardAnalyzer initialized (LLM=enabled)
2026-04-23 12:35:09 | INFO     | dashboard_analyzer — Running analyze()...
2026-04-23 12:35:10 | WARNING  | dashboard_analyzer — LLM analyze() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: https://*******************************************raud. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 12:35:10 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 12:35:10 | WARNING  | dashboard_analyzer — LLM recommend_kpis() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: https://*******************************************raud. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 12:42:00 | INFO     | dashboard_analyzer — DashboardAnalyzer initialized (LLM=enabled)
2026-04-23 12:42:00 | INFO     | dashboard_analyzer — Running analyze()...
2026-04-23 12:42:02 | WARNING  | dashboard_analyzer — LLM analyze() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 12:42:02 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 12:42:02 | WARNING  | dashboard_analyzer — LLM recommend_kpis() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 12:49:34 | INFO     | dashboard_analyzer — DashboardAnalyzer initialized (LLM=enabled)
2026-04-23 12:49:34 | INFO     | dashboard_analyzer — Running analyze()...
2026-04-23 12:49:35 | WARNING  | dashboard_analyzer — LLM analyze() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 12:49:36 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 12:49:36 | WARNING  | dashboard_analyzer — LLM recommend_kpis() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 13:04:28 | INFO     | dashboard_analyzer — DashboardAnalyzer initialized (LLM=enabled)
2026-04-23 13:04:28 | INFO     | dashboard_analyzer — Running analyze()...
2026-04-23 13:04:29 | WARNING  | dashboard_analyzer — LLM analyze() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 13:04:30 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 13:04:30 | WARNING  | dashboard_analyzer — LLM recommend_kpis() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyAA***************************8G4k. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 13:06:08 | INFO     | dashboard_analyzer — DashboardAnalyzer initialized (LLM=enabled)
2026-04-23 13:06:08 | INFO     | dashboard_analyzer — Running analyze()...
2026-04-23 13:06:10 | WARNING  | dashboard_analyzer — LLM analyze() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyDo***************************NpmY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2026-04-23 13:06:10 | INFO     | dashboard_analyzer — Running recommend_kpis()...
2026-04-23 13:06:10 | WARNING  | dashboard_analyzer — LLM recommend_kpis() failed, using fallback: Error code: 401 - {'error': {'message': 'Incorrect API key provided: AIzaSyDo***************************NpmY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
